Series ID,Year,Period,Label,Value
Alameda,2017,M10,2017 Oct,3.4
Alameda,2017,M11,2017 Nov,3.2
Alameda,2017,M12,2017 Dec,3.1
Alameda,2018,M01,2018 Jan,3.4
Alameda,2018,M02,2018 Feb,3.3
Alameda,2018,M03,2018 Mar,3.1
Alameda,2018,M04,2018 Apr,2.8
Alameda,2018,M05,2018 May,2.6
Alameda,2018,M06,2018 Jun,3.3
Alameda,2018,M07,2018 Jul,3.3
Alameda,2018,M08,2018 Aug,3.2
Alameda,2018,M09,2018 Sep,2.9
Alameda,2018,M10,2018 Oct,3.0
Alameda,2018,M11,2018 Nov,2.9
Alameda,2018,M12,2018 Dec,3.0
Alameda,2019,M01,2019 Jan,3.5
Alameda,2019,M02,2019 Feb,3.1
Alameda,2019,M03,2019 Mar,3.2
Alameda,2019,M04,2019 Apr,2.7
Alameda,2019,M05,2019 May,2.7
Alameda,2019,M06,2019 Jun,3.2
Alameda,2019,M07,2019 Jul,3.3
Alameda,2019,M08,2019 Aug,3.2
Alameda,2019,M09,2019 Sep,2.7
Alameda,2019,M10,2019 Oct,2.9
Alameda,2019,M11,2019 Nov,2.8
Alameda,2019,M12,2019 Dec,2.7
Alameda,2020,M01,2020 Jan,3.1
Alameda,2020,M02,2020 Feb,2.9
Alameda,2020,M03,2020 Mar,4.4
Alameda,2020,M04,2020 Apr,14.4
Alameda,2020,M05,2020 May,14.5
Alameda,2020,M06,2020 Jun,13.1
Alameda,2020,M07,2020 Jul,12.3
Alameda,2020,M08,2020 Aug,10.3
Alameda,2020,M09,2020 Sep,9.6
Alameda,2020,M10,2020 Oct,8.4
Alameda,2020,M11,2020 Nov,8.0
Alameda,2020,M12,2020 Dec,7.8
Alameda,2021,M01,2021 Jan,7.7
Alameda,2021,M02,2021 Feb,7.4
Alameda,2021,M03,2021 Mar,7.2
Alameda,2021,M04,2021 Apr,6.9
Alameda,2021,M05,2021 May,6.3
Alameda,2021,M06,2021 Jun,6.9
Alameda,2021,M07,2021 Jul,6.5
Alameda,2021,M08,2021 Aug,6.1
Alameda,2021,M09,2021 Sep,5.1
Alameda,2021,M10,2021 Oct,4.8
Alameda,2021,M11,2021 Nov,4.2
Alameda,2021,M12,2021 Dec,3.8
Alameda,2022,M01,2022 Jan,4.4
Alameda,2022,M02,2022 Feb,3.8
Alameda,2022,M03,2022 Mar,3.2
Alameda,2022,M04,2022 Apr,2.8
Alameda,2022,M05,2022 May,2.5
Alameda,2022,M06,2022 Jun,3.0
Alameda,2022,M07,2022 Jul,2.9
Alameda,2022,M08,2022 Aug,3.1
Alameda,2022,M09,2022 Sep,2.9
Alameda,2022,M10,2022 Oct,2.9
Contra Costa,2000,M01,2000 Jan,3.8
Contra Costa,2000,M02,2000 Feb,3.7
Contra Costa,2000,M03,2000 Mar,3.8
Contra Costa,2000,M04,2000 Apr,3.3
Contra Costa,2000,M05,2000 May,3.4
Contra Costa,2000,M06,2000 Jun,3.8
Contra Costa,2000,M07,2000 Jul,3.8
